City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1053,paysandu,-32.32,-58.08,92.98,24,100,4.0,UY,1609532647
1055,morondava,-20.28,44.28,83.3,71,34,11.54,MG,1609532678
1056,rawlins,41.79,-107.24,25.0,84,0,9.15,US,1609532678
1057,bajil,15.06,43.29,75.9,65,0,6.08,YE,1609532678
1058,bhawanigarh,30.27,76.03,48.85,49,51,5.66,IN,1609532678
1059,khoy,38.55,44.95,26.78,88,0,1.74,IR,1609532678
1060,vogar,63.98,-22.39,34.59,100,75,13.87,IS,1609532678
1061,capandanan,15.95,120.68,71.22,73,80,3.38,PH,1609532678
1063,rocha,-34.48,-54.33,75.79,42,84,13.13,UY,1609532487
1064,kawhia,-38.07,174.82,66.99,86,100,1.01,NZ,1609532678
1065,kudahuvadhoo,2.67,72.89,80.64,80,100,13.4,MV,1609532678
1066,trat,12.5,102.5,69.01,10,100,10.07,TH,1609532678
1068,fontem,5.47,9.88,73.35,55,0,1.32,CM,1609532679
1069,ozark,37.02,-93.21,33.75,97,89,9.08,US,1609532679
1070,carlsbad,33.16,-117.35,66.74,37,1,8.05,US,1609532679
1071,gwadar,25.12,62.33,63.99,28,41,10.96,PK,1609532679
1073,lima,-12.04,-77.03,77.0,65,0,12.75,PE,1609532627
1074,kuryk,43.2,51.65,37.69,71,77,22.84,KZ,1609532679
1076,mahibadhoo,3.78,72.97,80.37,80,100,13.31,MV,1609532679
1077,morgan city,29.7,-91.21,58.6,71,1,13.87,US,1609532679
1078,zwedru,6.07,-8.13,77.88,72,15,5.73,LR,1609532679
1080,duyun,26.27,107.52,34.7,85,26,1.77,CN,1609532680
1081,vredendal,-31.67,18.5,68.76,35,0,2.51,ZA,1609532680
1082,darhan,49.49,105.92,-8.77,88,82,3.15,MN,1609532680
1083,kolokani,13.57,-8.03,82.27,20,0,7.14,ML,1609532653
1085,sussex,41.18,-74.67,33.76,74,75,3.36,US,1609532680
1086,upington,-28.45,21.26,87.8,22,100,9.17,ZA,1609532680
1089,tabou,4.42,-7.35,79.5,84,20,6.78,CI,1609532681
1090,vysokopillya,47.49,33.53,44.31,93,90,6.71,UA,1609532681
1092,gat,31.61,34.76,57.36,80,0,4.59,IL,1609532681
1093,the pas,53.83,-101.25,17.6,85,90,4.7,CA,1609532681
1094,pervomayskoye,43.92,46.71,38.07,82,2,6.6,RU,1609532681
1095,ukiah,39.15,-123.21,48.58,81,1,3.83,US,1609532681
1096,pandan,14.05,124.17,78.51,86,91,19.53,PH,1609532681
1097,mosquera,4.71,-74.23,66.2,48,40,12.75,CO,1609532681
1099,chiltepec,18.48,-96.9,81.99,35,0,3.49,MX,1609532681
1101,athens,37.98,23.72,50.5,70,20,4.7,GR,1609532512
1102,waw,7.7,28.0,78.19,25,6,4.38,SS,1609532682
1104,eatonton,33.33,-83.39,66.2,92,100,9.28,US,1609532682
1106,hun,29.13,15.95,62.62,38,90,8.23,LY,1609532589
1107,tarbagatay,51.48,107.36,-20.2,75,20,3.8,RU,1609532682
1108,manali,13.17,80.27,77.0,88,40,2.24,IN,1609532682
1109,formosa,-26.18,-58.18,87.8,43,0,5.82,AR,1609532682
1110,praxedis guerrero,31.37,-106.02,46.49,22,75,8.05,MX,1609532682
1111,bay city,43.59,-83.89,29.84,80,90,9.17,US,1609532610
1112,khvorostyanka,52.61,48.96,13.37,96,100,8.41,RU,1609532682
1114,khowst,33.38,69.88,39.87,45,0,3.62,AF,1609532683
1115,botou,38.07,116.57,20.68,76,0,3.42,CN,1609532683
1116,ciudad bolivar,8.12,-63.55,85.53,61,29,11.65,VE,1609532683
1117,hobyo,5.35,48.53,76.77,75,89,17.85,SO,1609532683
1118,bandar-e lengeh,26.56,54.88,64.02,37,0,5.06,IR,1609532683
1119,srikakulam,18.3,83.9,64.63,76,0,6.13,IN,1609532683
1120,guacara,10.23,-67.88,78.64,69,95,6.24,VE,1609532683
1121,taoudenni,22.68,-3.98,66.09,24,0,9.17,ML,1609532683
1122,caucaia,-3.74,-38.65,83.07,66,0,11.41,BR,1609532683
1123,itoman,26.12,127.67,57.51,72,75,17.22,JP,1609532683
1125,richards bay,-28.78,32.04,70.21,76,99,13.47,ZA,1609532680
1127,mizoch,50.4,26.15,36.0,98,37,1.01,UA,1609532684
1128,labrea,-7.26,-64.8,88.95,59,90,2.75,BR,1609532684
1129,izhmorskiy,56.19,86.64,-9.26,91,95,7.02,RU,1609532684
1130,waitati,-45.75,170.57,55.0,95,100,11.01,NZ,1609532684
1131,sunbury,-37.58,144.73,66.74,68,0,12.75,AU,1609532684
1133,kralendijk,12.15,-68.27,84.2,70,40,21.92,BQ,1609532684
1135,kichera,55.94,110.1,-14.96,76,90,5.08,RU,1609532684
1136,marawi,8.0,124.29,73.99,91,100,7.0,PH,1609532684
1137,severnyy,50.68,36.55,32.0,99,90,8.95,RU,1609532685
1138,tura,25.52,90.22,57.06,74,76,3.4,IN,1609532685
1139,ulaanbaatar,47.91,106.88,-22.0,67,0,2.24,MN,1609532400
1141,warrnambool,-38.38,142.48,60.48,90,100,7.09,AU,1609532685
1142,otane,-39.88,176.63,71.01,66,91,2.04,NZ,1609532685
1143,tabas,33.6,56.92,35.6,37,0,2.24,IR,1609532685
1144,torrelavega,43.35,-4.05,45.23,61,93,8.99,ES,1609532686
