,Continent,Country Code,Country,Alcohol Consumption Per Capita (Liters),Climate,Main Industry,Region,Happiness Score,Life Expectancy,GDP per capita,Mental Health Disorders (%),Wine Consumption per capita (Liters)
123,Africa,TGO,Togo,3.1,"tropical; hot, humid in south; semiarid in north",phosphate mining,Sub-Saharan Africa,4.187200069,54.71989822,7.357711315,11.69726893,0.33
124,North America,TTO,Trinidad and Tobago,8.4,tropical; rainy season (June to December),petroleum and petroleum products,Latin America and Caribbean,6.1918997760000005,63.5,10.26000214,14.00788674,0.32
125,Asia,ARE,United Arab Emirates,3.8,desert; cooler in eastern mountains,petroleum and petrochemicals,Middle East and North Africa,6.790800095,67.08278656,11.1099987,12.40514899,0.13
126,Africa,TUN,Tunisia,1.9,"temperate in north with mild, rainy winters and hot, dry summers; desert in south",petroleum,Middle East and North Africa,4.392199993,66.89785767,9.314972877999999,15.61385176,0.38
127,Europe,TUR,Turkey,2.0,"temperate; hot, dry summers with mild, wet winters; harsher in interior",textiles,Middle East and North Africa,5.131800175,66.90281677,10.12941933,14.53602582,0.13
128,Asia,TKM,Turkmenistan,5.4,subtropical desert,natural gas,Commonwealth of Independent States,5.119100093999999,62.21170807,9.74803257,10.78989136,0.8
129,Africa,UGA,Uganda,9.5,"tropical; generally rainy with two dry seasons (December to February, June to August); semiarid in northeast",sugar,Sub-Saharan Africa,4.43200016,55.70820236,7.500389576,13.62560553,0.01
130,Europe,UKR,Ukraine,8.6,"temperate continental; Mediterranean only on the southern Crimean coast; precipitation disproportionately distributed, highest in west and north, lesser in east and southeast; winters vary from cool along the Black Sea to cold farther inland; warm summers across the greater part of the country, hot in the south",coal,Commonwealth of Independent States,4.56069994,64.60678101,9.010690689,12.32961963,0.72
131,Africa,EGY,Egypt,0.4,"desert; hot, dry summers with moderate winters",textiles,Middle East and North Africa,4.151400089,61.78015137,9.316541672,15.20598174,0.0
132,Europe,GBR,United Kingdom,11.4,temperate; moderated by prevailing southwest winds over the North Atlantic Current; more than one-half of the days are overcast,machine tools,Western Europe,7.164500237,72.30160522,10.60013485,14.66385933,4.17
133,Africa,TZA,Tanzania,9.4,varies from tropical along coast to temperate in highlands,agricultural processing (sugar,Sub-Saharan Africa,3.476200104,57.49607468,7.967665195,12.63725685,0.02
134,North America,USA,United States,9.8,"mostly temperate, but tropical in Hawaii and Florida, arctic in Alaska, semiarid in the great plains west of the Mississippi River, and arid in the Great Basin of the southwest; low winter temperatures in the northwest are ameliorated occasionally in January and February by warm chinook winds from the eastern slopes of the Rocky Mountains",highly diversified,North America and ANZ,6.9395999910000015,68.29949951,10.92576885,17.08089211,1.63
135,Africa,BFA,Burkina Faso,8.2,"three climate zones including a hot tropical savanna with a short rainy season in the southern half, a tropical hot semi-arid steppe climate typical of the Sahel region in the northern half, and small area of hot desert in the very north of the country bordering the Sahara Desert",cotton lint,Sub-Saharan Africa,4.768700123,53.88945389,7.46854496,11.94718361,0.1
136,South America,URY,Uruguay,10.8,warm temperate; freezing temperatures almost unknown,food processing,Latin America and Caribbean,6.440100192999999,69.00254822,9.948192596,15.35722034,3.13
137,Asia,UZB,Uzbekistan,2.7,"mostly mid-latitude desert, long, hot summers, mild winters; semiarid grassland in east",textiles,Commonwealth of Independent States,6.257599831,65.10757446,8.740371704,10.89707363,0.13
138,South America,VEN,Venezuela,5.6,"tropical; hot, humid; more moderate in highlands",petroleum,Latin America and Caribbean,5.053199768,66.50534058,8.977793693999999,11.0145057,0.06
139,Asia,YEM,Yemen,0.1,"mostly desert; hot and humid along west coast; temperate in western mountains affected by seasonal monsoon; extraordinarily hot, dry, harsh desert in east",crude oil production and petroleum refining,Middle East and North Africa,3.527400017,56.72728348,7.759682655,15.81947115,0.0
140,Africa,ZMB,Zambia,4.8,tropical; modified by altitude; rainy season (October to April),copper mining and processing,Sub-Saharan Africa,3.759399891,55.29937744,8.224720001,12.19210701,0.07
