,Continent,Country Code,Country,Alcohol Consumption Per Capita (Liters),Climate,Region,Happiness Score,Life Expectancy,GDP per capita,Mental Health Disorders (%),Wine Consumption per capita (Liters),GDP Group
151,Asia,VNM,Vietnam,8.3,"tropical in south; monsoonal in north with hot, rainy season (May to September) and warm, dry season (October to March)",Southeast Asia,5.353499889,67.95273590000001,8.809545517,10.8477994,0.02,GDP up to 9
152,Europe,SVN,Slovenia,12.6,"Mediterranean climate on the coast, continental climate with mild to hot summers and cold winters in the plateaus and valleys to the east",Central and Eastern Europe,6.363399982000001,71.1029892,10.39232254,12.020118,5.31,GDP up to 11
154,Africa,ZAF,South Africa,9.3,"mostly semiarid; subtropical along east coast; sunny days, cool nights",Sub-Saharan Africa,4.814099789,56.50601196,9.403370857,12.6502683,1.35,GDP up to 10
155,Africa,ZWE,Zimbabwe,4.8,tropical; moderated by altitude; rainy season (November to March),Sub-Saharan Africa,3.2992000580000003,55.61725998,7.8657116889999985,11.33274435,0.05,GDP up to 8
156,Europe,ESP,Spain,10.0,"temperate; clear, hot summers in interior, more moderate and cloudy along coast; cloudy, cold winters in interior, partly cloudy and cool along coast",Western Europe,6.4008998870000005,74.40270996,10.46292686,16.37056109,2.07,GDP up to 11
160,Europe,SWE,Sweden,9.2,"temperate in south with cold, cloudy winters and cool, partly cloudy summers; subarctic in north",Western Europe,7.353499889,72.60076904,10.75879383,15.77761679,3.6,GDP up to 11
161,Europe,CHE,Switzerland,11.5,"temperate, but varies with altitude; cold, cloudy, rainy/snowy winters; cool to warm, cloudy, humid summers with occasional showers",Western Europe,7.559899807000001,74.10244751,10.97993279,15.22131182,4.57,GDP up to 11
162,Asia,TJK,Tajikistan,3.3,"mid-latitude continental, hot summers, mild winters; semiarid to polar in Pamir Mountains",Commonwealth of Independent States,5.555699825,64.10459137,8.024810791,10.62871339,0.01,GDP up to 9
163,Asia,THA,Thailand,8.3,"tropical; rainy, warm, cloudy southwest monsoon (mid-May to September); dry, cool northeast monsoon (November to mid-March); southern isthmus always hot and humid",Southeast Asia,5.9987998010000005,67.25059509,9.741791725,12.95535967,0.04,GDP up to 10
164,Africa,TGO,Togo,3.1,"tropical; hot, humid in south; semiarid in north",Sub-Saharan Africa,4.187200069,54.71989822,7.357711315,11.69726893,0.33,GDP up to 8
166,North America,TTO,Trinidad and Tobago,8.4,tropical; rainy season (June to December),Latin America and Caribbean,6.1918997760000005,63.5,10.26000214,14.00788674,0.32,GDP up to 11
167,Asia,ARE,United Arab Emirates,3.8,desert; cooler in eastern mountains,Middle East and North Africa,6.790800095,67.08278656,11.1099987,12.40514899,0.13,GDP up to 12
168,Africa,TUN,Tunisia,1.9,"temperate in north with mild, rainy winters and hot, dry summers; desert in south",Middle East and North Africa,4.392199993,66.89785767,9.314972877999999,15.61385176,0.38,GDP up to 10
169,Europe,TUR,Turkey,2.0,"temperate; hot, dry summers with mild, wet winters; harsher in interior",Middle East and North Africa,5.131800175,66.90281677,10.12941933,14.53602582,0.13,GDP up to 11
170,Asia,TKM,Turkmenistan,5.4,subtropical desert,Commonwealth of Independent States,5.119100093999999,62.21170807,9.74803257,10.78989136,0.8,GDP up to 10
172,Africa,UGA,Uganda,9.5,"tropical; generally rainy with two dry seasons (December to February, June to August); semiarid in northeast",Sub-Saharan Africa,4.43200016,55.70820236,7.500389576,13.62560553,0.01,GDP up to 8
173,Europe,UKR,Ukraine,8.6,"temperate continental; Mediterranean only on the southern Crimean coast; precipitation disproportionately distributed, highest in west and north, lesser in east and southeast; winters vary from cool along the Black Sea to cold farther inland; warm summers across the greater part of the country, hot in the south",Commonwealth of Independent States,4.56069994,64.60678101,9.010690689,12.32961963,0.72,GDP up to 10
175,Africa,EGY,Egypt,0.4,"desert; hot, dry summers with moderate winters",Middle East and North Africa,4.151400089,61.78015137,9.316541672,15.20598174,0.0,GDP up to 10
176,Europe,GBR,United Kingdom,11.4,temperate; moderated by prevailing southwest winds over the North Atlantic Current; more than one-half of the days are overcast,Western Europe,7.164500237,72.30160522,10.60013485,14.66385933,4.17,GDP up to 11
177,Africa,TZA,Tanzania,9.4,varies from tropical along coast to temperate in highlands,Sub-Saharan Africa,3.476200104,57.49607468,7.967665195,12.63725685,0.02,GDP up to 8
178,North America,USA,United States,9.8,"mostly temperate, but tropical in Hawaii and Florida, arctic in Alaska, semiarid in the great plains west of the Mississippi River, and arid in the Great Basin of the southwest; low winter temperatures in the northwest are ameliorated occasionally in January and February by warm chinook winds from the eastern slopes of the Rocky Mountains",North America and ANZ,6.9395999910000015,68.29949951,10.92576885,17.08089211,1.63,GDP up to 11
179,Africa,BFA,Burkina Faso,8.2,"three climate zones including a hot tropical savanna with a short rainy season in the southern half, a tropical hot semi-arid steppe climate typical of the Sahel region in the northern half, and small area of hot desert in the very north of the country bordering the Sahara Desert",Sub-Saharan Africa,4.768700123,53.88945389,7.46854496,11.94718361,0.1,GDP up to 8
180,South America,URY,Uruguay,10.8,warm temperate; freezing temperatures almost unknown,Latin America and Caribbean,6.440100192999999,69.00254822,9.948192596,15.35722034,3.13,GDP up to 10
181,Asia,UZB,Uzbekistan,2.7,"mostly mid-latitude desert, long, hot summers, mild winters; semiarid grassland in east",Commonwealth of Independent States,6.257599831,65.10757446,8.740371704,10.89707363,0.13,GDP up to 9
182,South America,VEN,Venezuela,5.6,"tropical; hot, humid; more moderate in highlands",Latin America and Caribbean,5.053199768,66.50534058,8.977793693999999,11.0145057,0.06,GDP up to 9
184,Asia,YEM,Yemen,0.1,"mostly desert; hot and humid along west coast; temperate in western mountains affected by seasonal monsoon; extraordinarily hot, dry, harsh desert in east",Middle East and North Africa,3.527400017,56.72728348,7.759682655,15.81947115,0.0,GDP up to 8
185,Africa,ZMB,Zambia,4.8,tropical; modified by altitude; rainy season (October to April),Sub-Saharan Africa,3.759399891,55.29937744,8.224720001,12.19210701,0.07,GDP up to 9
