,Continent,Country Code,Country,Alcohol Consumption Per Capita (Liters),Climate,Region,Happiness Score,Life Expectancy,GDP per capita,Mental Health Disorders (%),Wine Consumption per capita (Liters),GDP Group
92,Asia,LAO,Laos,10.4,tropical monsoon; rainy season (May to November); dry season (December to April),Southeast Asia,4.888599873,58.70992279,8.79858017,13.41133002,0.0,GDP up to 9
93,Asia,LBN,Lebanon,1.5,"Mediterranean; mild to cool, wet winters with hot, dry summers; the Lebanon Mountains experience heavy winter snows",Middle East and North Africa,4.771500111,67.10658264,9.3617239,15.7604196,0.16,GDP up to 10
94,Africa,LSO,Lesotho,5.0,"temperate; cool to cold, dry winters; hot, wet summers",Sub-Saharan Africa,3.652800083,48.00362396,7.960488318999999,13.86770948,0.01,GDP up to 8
95,Europe,LVA,Latvia,12.9,"maritime; wet, moderate winters",Central and Eastern Europe,5.949999809,66.8074646,10.17531967,12.05103117,1.1,GDP up to 11
96,Africa,LBR,Liberia,5.8,"tropical; hot, humid; dry winters with hot days and cool to cold nights; wet, cloudy summers with frequent heavy showers",Sub-Saharan Africa,4.557899952,56.09631348,7.054380417000001,11.78776693,0.05,GDP up to 8
97,Africa,LBY,Libya,0.0,"Mediterranean along coast; dry, extreme desert interior",Middle East and North Africa,5.488800049,62.29999924,9.789815903,14.20183583,0.0,GDP up to 10
98,Europe,LTU,Lithuania,15.0,"transitional, between maritime and continental; wet, moderate winters and summers",Central and Eastern Europe,6.215499877999999,67.29407501,10.34362602,12.24507181,1.5,GDP up to 11
99,Europe,LUX,Luxembourg,13.0,"modified continental with mild winters, cool summers",Western Europe,7.237500191,72.59999847,11.45068073,14.96466061,4.75,GDP up to 12
100,Africa,MDG,Madagascar,1.9,"tropical along coast, temperate inland, arid in south",Sub-Saharan Africa,4.165599823,59.10542679,7.281685829,12.88844124,0.1,GDP up to 8
101,Africa,MWI,Malawi,3.7,sub-tropical; rainy season (November to May); dry season (May to November),Sub-Saharan Africa,3.538000107,57.59288788,7.062226295,12.47314767,0.02,GDP up to 8
102,Asia,MYS,Malaysia,0.9,tropical; annual southwest (April to October) and northeast (October to February) monsoons,Southeast Asia,5.384300232,67.10215759,10.26251888,12.14320306,0.01,GDP up to 11
103,Asia,MDV,Maldives,2.7,"tropical; hot, humid; dry, northeast monsoon (November to March); rainy, southwest monsoon (June to August)",South Asia,5.197599888,70.59999847,9.518632889,12.29830363,0.54,GDP up to 10
104,Africa,MLI,Mali,1.3,"subtropical to arid; hot and dry (February to June); rainy, humid, and mild (June to November); cool and dry (November to February)",Sub-Saharan Africa,4.729300021999999,51.72698212,7.629852295,11.43918028,0.01,GDP up to 8
105,Europe,MLT,Malta,8.1,"Mediterranean; mild, rainy winters; hot, dry summers",Western Europe,6.7727999689999985,72.19999695,10.53383827,14.47289918,3.25,GDP up to 11
106,Africa,MRT,Mauritania,0.0,"desert; constantly hot, dry, dusty",Sub-Saharan Africa,4.374599934,57.01017761,8.233919144,11.49507133,0.0,GDP up to 9
